Name,Super,Price
DIASOL aceite refinado de girasol botella 1 lt,dia,1.55
KOIPE Sol aceite girasol botella 1 lt,dia,1.92
DIASOL aceite refinado de girasol garrafa 5 lt,dia,1.47
KOIPE Fritos aceite de girasol botella 1 lt,dia,2.09
DIASOL aceite refinado de girasol especial para freír botella 1 lt,dia,1.79
ISABEL atún en aceite de girasol lata 260 gr,dia,14.96
UBAGO melva en aceite de girasol lata 85 gr,dia,25.29
ISABEL atún en aceite de girasol lata 650 gr,dia,11.37
CAPRIMAR anchoas en aceite de girasol frasco 52 gr,dia,26.73
UBAGO filetes de caballa del sur en aceite de girasol lata 65 gr,dia,19.08
ISABEL atún en aceite girasol pack 3 latas de 52 gr,dia,14.68
DIA MARI MARINERA atún en aceite de girasol lata 650 gr,dia,8.15
CALVO atún claro en aceite de girasol pack 3 latas de 52 gr,dia,18.53
DIA MARI MARINERA filete de caballa en aceite de girasol lata 180 gr,dia,10.83
